Bug-ID,MAJOR fault-revealed,MAJOR # revealing mutants,MAJOR # mutants,PIT fault-revealed,PIT # revealing mutants,PIT # mutants,Total # revealing mutants
Closure-164f,True,11,130,True,44,548,55
Closure-167f,False,0,463,False,0,2602,0
Closure-173f,True,2,1539,False,0,5981,2
Closure-175f,False,0,451,False,0,1679,0
Closure-19f,False,0,92,True,1,215,1
Closure-22f,True,1,63,True,3,234,4
Closure-27f,False,0,127,True,6,1360,6
Closure-28f,False,0,21,False,0,20,0
Closure-30f,True,4,300,True,9,623,13
Closure-33f,True,1,233,True,3,1012,4
Closure-39f,True,1,223,True,2,973,3
Closure-42f,True,2,417,False,0,1325,2
Closure-49f,True,4,178,True,24,238,28
Closure-50f,True,25,587,True,80,2035,105
Closure-52f,True,3,1143,True,10,4408,13
Closure-54f,False,0,1396,False,0,2119,0
Closure-65f,True,1,1134,True,2,4390,3
Closure-73f,False,0,1130,False,0,4382,0
Closure-75f,False,0,1281,False,0,7418,0
Closure-77f,False,0,1107,False,0,4224,0
Closure-7f,True,4,92,False,0,215,4
Closure-80f,False,0,1286,False,0,7434,0
Closure-81f,True,2,380,False,0,1775,2
Closure-82f,False,0,203,False,0,1218,0
Closure-85f,True,1,98,True,4,290,5
Closure-94f,False,0,936,False,0,5657,0
Closure-99f,True,1,117,True,3,393,4
Codec-11f,True,42,202,True,140,918,182
Codec-12f,True,10,128,True,55,444,65
Codec-15f,True,1,107,False,0,454,1
Codec-16f,True,1,913,False,0,3024,1
Codec-17f,False,0,23,False,0,149,0
Codec-18f,True,5,30,True,7,170,12
Codec-3f,True,79,2154,True,218,6808,297
Codec-4f,True,3,991,False,0,2793,3
Codec-6f,False,0,116,False,0,349,0
Codec-7f,True,1,1004,True,2,2819,3
Codec-9f,True,8,978,False,0,2773,8
Compress-11f,True,3,61,True,6,317,9
Compress-14f,False,0,382,False,0,1635,0
Compress-15f,False,0,262,False,0,891,0
Compress-16f,True,1,62,True,2,325,3
Compress-17f,True,5,651,True,7,2664,12
Compress-18f,False,0,323,True,4,1503,4
Compress-19f,True,1,226,True,55,736,56
Compress-1f,True,52,395,True,146,1311,198
Compress-24f,False,0,621,True,4,2624,4
Compress-27f,True,2,618,True,6,2585,8
Compress-2f,True,17,218,True,72,799,89
Compress-31f,False,0,613,False,0,2585,0
Compress-34f,True,2,114,False,0,521,2
Compress-35f,False,0,562,True,2,2463,2
Compress-39f,False,0,128,False,0,706,0
Compress-3f,True,3,140,True,6,718,9
Compress-41f,True,3,921,True,28,3174,31
Compress-42f,False,0,312,False,0,1151,0
Compress-44f,True,2,25,True,2,109,4
Compress-45f,True,3,578,True,7,2526,10
Compress-46f,True,2,334,True,3,1074,5
Compress-47f,True,13,984,True,21,3317,34
Compress-4f,True,50,960,True,141,4047,191
Compress-6f,False,0,154,False,0,599,0
Compress-7f,True,1,233,True,3,983,4
Compress-8f,True,8,287,True,24,1229,32
Compress-9f,True,2,156,True,7,784,9
Csv-10f,True,1,286,True,1,1247,2
Csv-11f,True,3,86,False,0,328,3
Csv-12f,True,1,313,False,0,1359,1
Csv-13f,True,1,658,False,0,2899,1
Csv-14f,False,0,636,False,0,2879,0
Csv-2f,False,0,19,True,13,144,13
Csv-3f,True,3,99,True,15,539,18
Csv-4f,True,1,71,False,0,241,1
Csv-5f,True,2,284,True,7,1234,9
Csv-6f,True,2,23,True,3,199,5
Csv-7f,True,1,72,True,3,269,4
Csv-8f,True,1,309,True,17,1334,18
Csv-9f,True,1,30,True,3,211,4
Gson-12f,True,5,300,True,4,1239,9
Gson-2f,True,1,266,False,0,16,1
Gson-4f,True,10,1678,True,42,8382,52
Gson-7f,True,9,1435,True,43,7484,52
Gson-9f,False,0,635,False,0,1353,0
JacksonCore-12f,True,15,6890,True,30,32439,45
JacksonCore-14f,True,3,52,True,8,225,11
JacksonCore-15f,True,8,346,True,20,1265,28
JacksonCore-16f,True,3,45,True,9,216,12
JacksonCore-17f,True,31,2223,True,74,10511,105
JacksonCore-18f,True,26,4387,True,90,20423,116
JacksonCore-1f,True,8,925,True,23,3690,31
JacksonCore-20f,True,1,207,True,1,862,2
JacksonCore-22f,True,21,371,True,66,1355,87
JacksonCore-26f,True,8,3336,True,25,16685,33
JacksonCore-3f,True,5,3622,True,5,16074,10
