Bug-ID,Increments-Revealing,Increments-Non-Revealing,Increments-No-Coverage,InvertNegs-Revealing,InvertNegs-Non-Revealing,InvertNegs-No-Coverage,ReturnVals-Revealing,ReturnVals-Non-Revealing,ReturnVals-No-Coverage,VoidMethodCall-Revealing,VoidMethodCall-Non-Revealing,VoidMethodCall-No-Coverage,PrimitiveReturns-Revealing,PrimitiveReturns-Non-Revealing,PrimitiveReturns-No-Coverage,ConstructorCall-Revealing,ConstructorCall-Non-Revealing,ConstructorCall-No-Coverage,NonVoidMethodCall-Revealing,NonVoidMethodCall-Non-Revealing,NonVoidMethodCall-No-Coverage,RemoveConditional-Revealing,RemoveConditional-Non-Revealing,RemoveConditional-No-Coverage,ABS-Revealing,ABS-Non-Revealing,ABS-No-Coverage,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,AOD-Revealing,AOD-Non-Revealing,AOD-No-Coverage,CRCR-Revealing,CRCR-Non-Revealing,CRCR-No-Coverage,OBBN-Revealing,OBBN-Non-Revealing,OBBN-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,UOI-Revealing,UOI-Non-Revealing,UOI-No-Coverage,BooleanTrueReturnVals-Revealing,BooleanTrueReturnVals-Non-Revealing,BooleanTrueReturnVals-No-Coverage,BooleanFalseReturnVals-Revealing,BooleanFalseReturnVals-Non-Revealing,BooleanFalseReturnVals-No-Coverage,ArgumentPropagation-Revealing,ArgumentPropagation-Non-Revealing,ArgumentPropagation-No-Coverage,NullReturnVals-Revealing,NullReturnVals-Non-Revealing,NullReturnVals-No-Coverage,NakedReceiver-Revealing,NakedReceiver-Non-Revealing,NakedReceiver-No-Coverage,MemberVariable-Revealing,MemberVariable-Non-Revealing,MemberVariable-No-Coverage,EmptyObjectReturnVals-Revealing,EmptyObjectReturnVals-Non-Revealing,EmptyObjectReturnVals-No-Coverage,RemoveIncrements-Revealing,RemoveIncrements-Non-Revealing,RemoveIncrements-No-Coverage,Switch-Revealing,Switch-Non-Revealing,Switch-No-Coverage,RemoveSwitch-Revealing,RemoveSwitch-Non-Revealing,RemoveSwitch-No-Coverage,BigInteger-Revealing,BigInteger-Non-Revealing,BigInteger-No-Coverage
JxPath-14f,0,9,0,0,0,0,11,110,6,6,27,3,0,2,0,1,21,2,9,231,15,16,130,10,11,68,2,7,28,1,3,15,0,20,401,26,0,0,0,53,262,31,41,264,19,0,4,0,0,2,0,2,1,0,10,69,6,2,13,3,0,1,0,0,31,0,0,8,0,0,4,0,0,91,3,0,0,0
JxPath-16f,0,10,5,0,0,0,2,142,15,0,8,2,2,17,10,0,35,11,0,365,124,0,440,128,0,63,31,0,28,20,0,12,12,5,729,236,0,0,0,0,743,262,0,233,143,0,32,0,0,19,2,0,29,5,0,32,4,0,88,64,0,12,1,0,37,5,0,6,5,0,3,0,0,12,5,0,0,0
JxPath-18f,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,1,11,0,2,18,0,0,2,0,0,8,0,0,4,0,3,45,6,0,0,0,1,36,5,0,7,1,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-20f,0,0,0,0,0,0,1,14,1,0,0,2,0,1,0,0,1,0,3,19,6,2,29,9,0,4,2,0,0,0,0,0,0,3,54,11,0,0,0,2,70,28,0,20,4,0,10,0,2,3,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-21f,0,0,0,0,0,0,0,18,3,0,6,0,0,3,1,0,1,2,0,36,14,1,41,11,0,14,8,0,4,4,0,0,4,5,72,30,0,0,0,0,69,22,0,71,17,0,6,2,0,1,1,0,1,2,0,7,1,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-22f,0,3,3,0,0,0,0,71,2,0,5,0,0,11,1,0,15,5,1,202,39,1,227,37,0,34,11,0,12,4,0,6,2,0,443,74,0,0,0,1,358,82,0,130,50,0,17,0,0,10,0,0,19,0,0,14,1,0,58,19,0,8,0,0,20,0,0,2,3,0,2,0,0,8,5,0,0,0
JxPath-4f,0,10,3,0,0,0,1,145,10,0,7,1,0,24,5,0,34,11,5,406,85,4,458,82,0,65,25,0,35,13,0,11,13,12,821,131,0,0,0,4,779,198,3,241,116,0,34,0,0,19,2,1,33,1,0,30,4,0,115,46,0,11,0,0,41,0,0,7,2,0,3,0,0,12,5,0,0,0
JxPath-5f,0,2,0,0,0,0,0,53,3,0,2,4,0,6,1,0,11,4,0,107,28,1,104,25,1,26,7,0,24,8,0,12,4,4,184,53,0,0,0,1,151,37,0,100,36,0,11,2,0,6,0,0,7,1,0,21,0,0,20,38,0,12,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0
JxPath-6f,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,27,4,0,61,5,0,0,0,0,0,0,0,0,0,0,58,12,0,0,0,0,135,22,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-7f,0,0,0,0,0,0,4,16,1,2,0,0,0,2,0,0,1,0,7,13,5,6,32,2,0,8,0,0,0,0,0,0,0,7,130,10,0,0,0,8,78,14,0,30,2,3,8,0,2,1,3,0,1,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-8f,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,0,1,0,2,20,3,2,28,6,0,4,2,0,0,0,0,0,0,0,53,6,0,0,0,2,65,23,0,20,4,0,9,0,0,5,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-9f,0,0,0,0,0,0,0,16,0,0,0,2,0,1,0,0,1,0,1,27,4,1,57,6,0,3,3,0,0,0,0,0,0,0,86,11,0,0,0,2,125,21,0,19,5,0,9,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-16f,0,10,0,0,0,0,5,96,0,0,0,0,0,52,0,0,36,0,6,87,11,14,306,38,0,240,28,0,44,20,0,21,11,20,521,129,0,0,0,18,593,164,5,771,296,1,17,1,0,6,0,0,17,0,4,10,0,0,3,13,0,0,0,0,8,0,0,1,3,0,1,0,0,6,0,0,0,0
Lang-18f,0,6,1,0,0,0,0,42,0,0,8,0,0,1,1,2,27,0,0,103,5,1,71,6,1,88,4,0,27,9,0,16,2,13,298,51,0,0,0,1,165,17,7,334,31,0,2,0,0,0,0,0,12,0,0,29,0,0,8,5,0,5,0,0,8,0,0,5,1,0,2,0,0,85,1,0,0,0
Lang-19f,0,2,0,0,0,0,1,3,0,0,3,1,0,1,0,0,1,0,0,23,4,5,28,5,3,28,7,0,28,0,0,14,0,19,127,18,0,0,0,9,73,13,15,105,32,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Lang-1f,2,14,0,0,0,0,0,102,0,0,12,0,0,52,0,0,16,0,2,106,13,7,302,37,5,257,32,0,68,8,0,32,6,20,681,125,0,0,0,8,622,159,9,858,309,0,18,1,0,6,0,0,16,1,0,16,0,0,9,12,0,0,0,0,8,0,1,4,4,0,1,0,0,6,0,0,1,0
Lang-22f,0,1,1,0,12,4,0,56,2,0,0,0,0,17,1,0,34,3,0,102,5,0,173,22,1,228,40,0,230,22,0,116,10,0,469,62,0,14,1,0,404,54,5,946,125,0,2,0,0,1,0,0,35,2,0,31,1,0,38,0,0,13,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0
Lang-23f,0,4,4,0,0,0,3,14,4,0,7,9,1,1,0,0,17,4,4,98,39,1,63,33,0,23,22,0,17,27,3,3,16,8,150,89,0,0,0,1,122,70,0,74,106,1,3,3,1,2,0,0,8,10,0,2,2,0,15,19,0,3,0,0,4,0,0,4,4,0,3,1,0,4,5,0,0,0
Lang-24f,0,10,0,0,0,0,0,101,0,0,0,0,0,51,1,0,36,0,0,92,10,17,302,35,0,240,28,0,42,22,1,20,11,49,488,133,0,0,0,38,574,153,14,801,257,0,18,1,0,6,0,0,17,0,0,14,0,0,3,13,0,0,0,0,8,0,0,1,3,0,1,0,0,6,0,0,0,0
Lang-27f,0,10,0,0,0,0,3,98,0,0,0,0,0,50,2,2,34,0,3,90,9,6,316,30,2,236,29,0,47,17,0,22,10,8,544,118,0,0,0,6,603,151,9,761,298,0,18,1,0,6,0,0,16,1,3,11,0,0,5,11,0,0,0,0,8,0,0,1,3,0,1,0,0,6,0,0,0,0
Lang-28f,0,2,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,1,9,1,1,15,0,2,15,2,0,24,0,0,12,0,9,89,7,0,0,0,0,36,4,2,58,16,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Lang-32f,0,1,0,0,0,0,0,30,1,2,5,1,0,9,1,2,8,1,6,50,2,5,85,6,0,83,14,0,120,0,0,60,0,3,132,21,0,0,0,5,138,33,0,286,102,0,1,0,0,0,0,0,7,1,0,19,0,0,21,1,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-33f,0,2,1,0,0,0,0,74,2,0,2,0,0,0,0,0,11,3,0,161,15,2,188,22,0,21,9,0,24,4,0,11,3,0,293,65,0,0,0,1,309,88,0,92,28,0,19,2,0,6,0,0,29,1,0,14,0,0,20,10,0,0,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0
Lang-35f,0,29,0,0,0,0,0,342,0,0,34,0,0,93,0,2,16,0,0,223,10,2,787,17,0,508,18,0,234,6,0,117,3,0,1203,96,0,0,0,0,1189,158,0,1686,418,0,30,0,0,20,0,0,87,2,0,154,0,0,9,26,0,0,0,0,3,0,0,25,4,0,0,0,0,0,0,0,0,0
